bac_id,chrNo,cyto,bac_start,bac_end,bac_size,is_CNV_targetting,is_chr20_targetting
BAC195_L24,1,1p36.31,6588296,6685972,97676,-,-
BAC170_J23,1,1p36.31,6611799,6699878,88079,-,-
BAC63_P20,1,1p36.31,6655055,6783540,128485,-,-
BAC182_L03,1,1p36.31,6699041,6787649,88608,-,-
BAC84_P03,1,1p36.31,6705724,6794350,88626,-,-
BAC141_E06,1,1p36.31,6763421,6903859,140438,-,-
BAC125_B21,1,1p36.31,6785360,6903859,118499,-,-
BAC191_I15,1,1p36.31,6825735,6907880,82145,-,-
BAC250_C07,1,1p36.31,6874359,6966238,91879,-,-
BAC102_O08,1,1p36.31,6895530,7075347,179817,-,-
BAC198_E05,1,1p36.31,6903849,6992848,88999,-,-
BAC119_E07,1,1p36.31,6903849,6992848,88999,-,-
BAC242_H15,1,1p36.31,6921360,7001473,80113,-,-
BAC197_I23,1,1p36.31,6936803,7024579,87776,-,-
BAC57_C18,1,1p36.31,6978352,7075329,96977,-,-
BAC167_C08,1,1p36.31-1p36.23,7076821,7193950,117129,-,-
BAC195_B17,1,1p36.31-1p36.23,7080361,7175501,95140,-,-
BAC120_P02,1,1p36.31-1p36.23,7087207,7204385,117178,-,-
BAC42_I15,1,1p36.23,7120287,7193950,73663,-,-
BAC159_E02,1,1p36.23,7163183,7285824,122641,-,-
BAC161_M16,1,1p36.23,7174468,7298664,124196,-,-
BAC161_D03,1,1p36.23,7193963,7289979,96016,-,-
BAC193_K23,1,1p36.23,7291556,7382799,91243,-,-
BAC86_L19,1,1p36.23,7296027,7425849,129822,-,-
BAC108_P15,1,1p36.23,7298656,7396742,98086,-,-
BAC96_F09,1,1p36.23,7298657,7382799,84142,-,-
BAC80_F08,1,1p36.23,7298657,7398639,99982,-,-
BAC209_L16,1,1p36.23,7298727,7388330,89603,-,-
BAC48_C03,1,1p36.23,7312085,7393196,81111,-,-
BAC195_O09,1,1p36.23,7312111,7423491,111380,-,-
BAC64_O16,1,1p36.23,7315926,7423524,107598,-,-
BAC185_C17,1,1p36.23,7447331,7538217,90886,-,-
BAC243_A07,1,1p36.23,7547306,7658831,111525,-,-
BAC183_D10,1,1p36.23,7547306,7659225,111919,-,-
BAC162_L03,1,1p36.23,7555447,7683290,127843,-,-
BAC57_D03,1,1p36.23,7575330,7659809,84479,-,-
BAC45_C11,1,1p36.23,7594264,7658463,64199,-,-
BAC116_C20,1,1p36.23,7668252,7739891,71639,-,-
BAC34_E20,1,1p36.23,7729712,7815328,85616,-,-
BAC140_N09,1,1p36.23,7731927,7828073,96146,-,-
BAC45_C05,1,1p36.23,7755933,7882413,126480,-,-
BAC165_A08,1,1p36.23,7832635,7919980,87345,-,-
BAC223_I07,1,1p36.23,7886594,7995607,109013,-,-
BAC35_C11,1,1p36.23,7891224,8002461,111237,-,-
BAC109_P09,1,1p36.23,7891472,7983529,92057,-,-
BAC1_O02,1,1p36.23,7892707,7983670,90963,-,-
BAC88_J18,1,1p36.23,7915500,8000641,85141,-,-
BAC187_D10,1,1p36.23,7996644,8080379,83735,-,-
BAC228_G23,1,1p36.23,8059802,8150008,90206,-,-
BAC69_O01,1,1p36.23,8161468,8297057,135589,-,-
BAC105_H04,1,1p36.23,8162346,8243757,81411,-,-
BAC233_F11,1,1p36.23,8165182,8233451,68269,-,-
BAC246_N16,1,1p36.23,8297052,8387510,90458,-,-
BAC128_J02,1,1p36.23,8344242,8444060,99818,-,-
BAC30_J05,1,1p36.23,8363335,8466997,103662,-,-
BAC233_O07,1,1p36.23,8400942,8494006,93064,-,-
BAC37_N19,1,1p36.23,8410307,8513653,103346,-,-
BAC190_M14,1,1p36.23,8410315,8508188,97873,-,-
BAC125_E11,1,1p36.23,8438633,8532018,93385,-,-
BAC230_P19,1,1p36.23,8444055,8573648,129593,-,-
BAC86_J18,1,1p36.23,8472052,8553679,81627,-,-
BAC76_J09,1,1p36.23,8475470,8643533,168063,-,-
BAC45_M07,1,1p36.23,8502758,8625216,122458,-,-
BAC31_D02,1,1p36.23,8525888,8608670,82782,-,-
BAC125_O07,1,1p36.23,8537658,8625220,87562,-,-
BAC26_B06,1,1p36.23,8578937,8665670,86733,-,-
BAC10_I07,1,1p36.23,8643531,8731169,87638,-,-
BAC95_C02,1,1p36.23,8657015,8774576,117561,-,-
BAC162_C01,1,1p36.23,8665735,8750250,84515,-,-
BAC37_B23,1,1p36.23,8671796,8839965,168169,-,-
BAC135_K24,1,1p36.23,8758432,8860199,101767,-,-
BAC198_B17,1,1p36.23,8840065,8959193,119128,-,-
BAC184_H16,1,1p36.23,8843132,8935254,92122,-,-
BAC63_O24,1,1p36.23,8843140,8936528,93388,-,-
BAC78_C20,1,1p36.23,8845627,8972351,126724,-,-
BAC82_P18,1,1p36.23,8863298,8959400,96102,-,-
BAC239_I05,1,1p36.23,8867858,8944883,77025,-,-
BAC78_L17,1,1p36.23,8936524,9068161,131637,-,-
BAC209_I15,1,1p36.23,8966402,9070488,104086,-,-
BAC240_M24,1,1p36.23,8972346,9070490,98144,-,-
BAC146_P13,1,1p36.23,8987816,9070795,82979,-,-
BAC233_H01,1,1p36.23,8987837,9070795,82958,-,-
BAC2_E09,1,1p36.23,9014303,9101127,86824,-,-
BAC55_O11,1,1p36.23,9014377,9101133,86756,-,-
BAC129_N18,1,1p36.23,9070786,9187091,116305,-,-
BAC84_O08,1,1p36.23,9070786,9195749,124963,-,-
BAC83_G16,1,1p36.23,9073605,9187091,113486,-,-
BAC190_E13,1,1p36.23,9085788,9170094,84306,-,-
BAC151_J19,1,1p36.23,9101128,9185120,83992,-,-
BAC145_L13,1,1p36.23,9101145,9187091,85946,-,-
BAC27_B16,1,1p36.23-1p36.22,9172279,9279816,107537,-,-
BAC132_L11,1,1p36.22,9208290,9352825,144535,-,-
BAC63_M18,1,1p36.22,9236082,9334144,98062,-,-
BAC248_B08,1,1p36.22,9259584,9348086,88502,-,-
BAC27_E07,1,1p36.22,9287189,9392043,104854,-,-
BAC33_K20,1,1p36.22,9345560,9435007,89447,-,-
BAC109_N18,1,1p36.22,9642317,9779641,137324,-,-
BAC106_B19,1,1p36.22,9667644,9760293,92649,-,-
BAC91_O21,1,1p36.22,9667644,9763814,96170,-,-
BAC48_E02,1,1p36.22,9667644,9779586,111942,-,-
BAC78_L05,1,1p36.22,9667646,9762226,94580,-,-
BAC26_M23,1,1p36.22,9667648,9763814,96166,-,-
BAC20_B10,1,1p36.22,9667650,9759300,91650,-,-
BAC162_M21,1,1p36.22,9668022,9763814,95792,-,-
BAC152_N21,1,1p36.22,9685596,9770031,84435,-,-
BAC130_O03,1,1p36.22,9802379,9889579,87200,-,-
BAC60_M04,1,1p36.22,9886785,10030125,143340,-,-
BAC188_I15,1,1p36.22,9984869,10056896,72027,-,-
BAC73_N08,1,1p36.22,10082111,10163722,81611,-,-
BAC34_N10,1,1p36.22,10086903,10197749,110846,-,-
BAC120_E02,1,1p36.22,10196634,10304092,107458,-,-
BAC135_H08,1,1p36.22,10201416,10276462,75046,-,-
BAC36_A12,1,1p36.22,10221606,10393890,172284,-,-
BAC83_P20,1,1p36.22,10221612,10309556,87944,-,-
BAC229_M09,1,1p36.22,10236822,10306486,69664,-,-
BAC219_L12,1,1p36.22,10253848,10340656,86808,-,-
BAC191_L15,1,1p36.22,10260491,10349737,89246,-,-
BAC158_O15,1,1p36.22,10261858,10367961,106103,-,-
BAC34_K03,1,1p36.22,10322415,10412065,89650,-,-
BAC176_O15,1,1p36.22,10328426,10442177,113751,-,-
BAC76_L10,1,1p36.22,10383626,10472825,89199,-,-
BAC92_P07,1,1p36.22,10393883,10506846,112963,-,-
BAC119_G02,1,1p36.22,10440518,10564292,123774,-,-
BAC169_B14,1,1p36.22,10442171,10519305,77134,-,-
BAC58_N24,1,1p36.22,10506898,10627404,120506,-,-
BAC166_C09,1,1p36.22,10564443,10700025,135582,-,-
BAC187_J05,1,1p36.22,10586230,10700025,113795,-,-
BAC24_J17,1,1p36.22,10586387,10731172,144785,-,-
BAC229_N15,1,1p36.22,10597273,10703802,106529,-,-
BAC167_I17,1,1p36.22,10627398,10734650,107252,-,-
BAC26_I04,1,1p36.22,10673667,10814182,140515,-,-
BAC161_H09,1,1p36.22,10782505,10891932,109427,-,-
BAC140_G07,1,1p36.22,10811249,10888966,77717,-,-
BAC167_J04,1,1p36.22,10826727,10952381,125654,-,-
BAC217_O06,1,1p36.22,10969464,11062657,93193,-,-
BAC32_G12,1,1p36.22,11063257,11141608,78351,-,-
BAC36_H16,1,1p36.22,11068638,11203014,134376,-,-
BAC170_D02,1,1p36.22,11104460,11201256,96796,-,-
BAC132_G11,1,1p36.22,11114879,11207823,92944,-,-
BAC90_A08,1,1p36.22,11114879,11263174,148295,-,-
BAC37_L12,1,1p36.22,11135077,11244313,109236,-,-
BAC171_L15,1,1p36.22,11141602,11261296,119694,-,-
BAC4_D14,1,1p36.22,11147547,11245291,97744,-,-
BAC82_D15,1,1p36.22,11151290,11266512,115222,-,-
BAC40_L11,1,1p36.22,11210555,11340390,129835,-,-
BAC100_A15,1,1p36.22,11250787,11342606,91819,-,-
BAC39_F19,1,1p36.22,11277332,11437474,160142,-,-
BAC66_D06,1,1p36.22,11277349,11423348,145999,-,-
BAC193_F05,1,1p36.22,11309500,11406941,97441,-,-
BAC247_L06,1,1p36.22,11340437,11437474,97037,-,-
BAC36_L20,1,1p36.22,11358876,11462224,103348,-,-
BAC127_O05,1,1p36.22,11462216,11555060,92844,-,-
BAC188_P01,1,1p36.22,11503390,11600677,97287,-,-
BAC193_N19,1,1p36.22,11545826,11696672,150846,-,-
BAC52_J22,1,1p36.22,11555057,11719879,164822,-,-
BAC77_E10,1,1p36.22,11555069,11719889,164820,-,-
BAC149_C20,1,1p36.22,11644319,11778527,134208,-,-
BAC63_C10,1,1p36.22,11693808,11801660,107852,-,-
BAC180_C01,1,1p36.22,11696949,11801660,104711,-,-
BAC219_K08,1,1p36.22,11706249,11801658,95409,-,-
BAC226_J01,1,1p36.22,11719884,11801660,81776,-,-
BAC26_D16,1,1p36.22,11801716,11966731,165015,-,-
BAC165_I22,1,1p36.22,11840110,11956665,116555,-,-
BAC167_A22,1,1p36.22,11843637,11956665,113028,-,-
BAC173_J09,1,1p36.22,11844787,11966728,121941,-,-
BAC44_G09,1,1p36.22,11844904,11967247,122343,-,-
BAC81_I11,1,1p36.22,11896777,12080549,183772,-,-
BAC21_F06,1,1p36.22,11966725,12101160,134435,-,-
BAC117_P17,1,1p36.22,11975747,12085109,109362,-,-
BAC182_B03,1,1p36.22,12002982,12079068,76086,-,-
BAC140_N13,1,1p36.22,12014894,12091671,76777,-,-
BAC167_K08,1,1p36.22,12122605,12217579,94974,-,-
BAC28_J24,1,1p36.22,12322436,12417406,94970,-,-
BAC149_A02,1,1p36.22,12345454,12443239,97785,-,-
BAC218_I01,1,1p36.22,12355548,12477520,121972,-,-
BAC57_N24,1,1p36.22,12379147,12462717,83570,-,-
BAC193_D12,1,1p36.22,12379147,12477523,98376,-,-
BAC26_N24,1,1p36.22,12385219,12485989,100770,-,-
BAC226_O08,1,1p36.22,12407431,12485972,78541,-,-
BAC92_L07,1,1p36.22,12462603,12549503,86900,-,-
BAC49_K01,1,1p36.22-1p36.21,12549848,12660441,110593,-,-
BAC25_D06,1,1p36.22-1p36.21,12549888,12639046,89158,-,-
BAC231_C13,1,1p36.22-1p36.21,12570376,12671985,101609,-,-
BAC103_G18,1,1p36.21,12639038,12745919,106881,-,-
BAC159_E07,1,1p36.21,12749224,12866210,116986,-,-
BAC82_E19,1,1p36.21,12755094,12886275,131181,-,-
BAC57_I03,1,1p36.21,12782385,12886079,103694,-,-
BAC147_I23,1,1p36.21,12798101,12880736,82635,-,-
BAC219_P22,1,1p36.21,12886367,13092500,206133,-,-
BAC230_A05,1,1p36.21,13092494,13268691,176197,-,-
BAC127_N04,1,1p36.21,13107937,13272966,165029,-,-
BAC70_I04,1,1p36.21,13119967,13276004,156037,-,-
BAC79_E19,1,1p36.21,13279563,13584929,305366,-,-
BAC189_J08,1,1p36.21,13280679,13418320,137641,-,-
BAC246_L04,1,1p36.21,13292754,13380944,88190,-,-
BAC198_A04,1,1p36.21,13293004,13405338,112334,-,-
BAC165_K12,1,1p36.21,13296675,13380946,84271,-,-
BAC168_I01,1,1p36.21,13588987,13706263,117276,-,-
BAC40_B04,1,1p36.21,13681896,13807568,125672,-,-
BAC46_L14,1,1p36.21,13714343,13807512,93169,-,-
BAC43_P01,1,1p36.21,13715595,13836513,120918,-,-
BAC190_M04,1,1p36.21,13883759,13958962,75203,-,-
BAC251_M11,1,1p36.21,13966616,13992781,26165,-,-
BAC106_N10,1,1p36.21,13972273,14068428,96155,-,-
BAC169_I09,1,1p36.21,13972273,14087482,115209,-,-
BAC234_B12,1,1p36.21,13985735,14083245,97510,-,-
BAC172_I12,1,1p36.21,13995308,14080752,85444,-,-
BAC117_K06,1,1p36.21,13997802,14095974,98172,-,-
BAC221_M11,1,1p36.21,14126782,14218579,91797,-,-
BAC154_M06,1,1p36.21,14173122,14254568,81446,-,-
BAC150_A19,1,1p36.21,14173122,14259087,85965,-,-
BAC247_O14,1,1p36.21,14227239,14313865,86626,-,-
BAC149_K17,1,1p36.21,14239209,14350832,111623,-,-
BAC80_M10,1,1p36.21,14320608,14426955,106347,-,-
BAC142_I08,1,1p36.21,14366129,14525725,159596,-,-
BAC234_K21,1,1p36.21,14373284,14500049,126765,-,-
BAC180_D15,1,1p36.21,14384753,14500049,115296,-,-
BAC175_F24,1,1p36.21,14384889,14495195,110306,-,-
BAC217_G02,1,1p36.21,14401527,14503566,102039,-,-
BAC238_F17,1,1p36.21,14414041,14498586,84545,-,-
BAC59_P18,1,1p36.21,14512486,14648546,136060,-,-
BAC246_P17,1,1p36.21,14576364,14654037,77673,-,-
BAC126_N05,1,1p36.21,14603388,14675979,72591,-,-
BAC11_A02,1,1p36.21,14712538,14799678,87140,-,-
BAC46_O02,1,1p36.21,14770594,14872993,102399,-,-
BAC28_H08,1,1p36.21,14785314,14968094,182780,-,-
BAC229_F11,1,1p36.21,14799772,14873667,73895,-,-
BAC79_C21,1,1p36.21,14815569,14941458,125889,-,-
BAC246_O05,1,1p36.21,14816772,14938822,122050,-,-
BAC246_J17,1,1p36.21,14837683,14912313,74630,-,-
BAC160_J07,1,1p36.21,14972247,15088216,115969,-,-
BAC91_A07,1,1p36.21,14972982,15068854,95872,-,-
BAC178_M20,1,1p36.21,14984143,15046252,62109,-,-
BAC27_L06,1,1p36.21,14984159,15090619,106460,-,-
BAC185_M08,1,1p36.21,15003152,15088216,85064,-,-
BAC221_E23,1,1p36.21,15088218,15168615,80397,-,-
BAC37_E08,1,1p36.21,15090613,15195996,105383,-,-
BAC97_F03,1,1p36.21,15202556,15256077,53521,-,-
BAC194_C04,1,1p36.21,15295388,15437916,142528,-,-
BAC192_C14,1,1p36.21,15295388,15381244,85856,-,-
BAC37_A04,1,1p36.21,15317752,15418687,100935,-,-
BAC246_H10,1,1p36.21,15346462,15429291,82829,-,-
BAC136_O17,1,1p36.21,15346713,15429299,82586,-,-
BAC36_I11,1,1p36.21,15358957,15453918,94961,-,-
BAC160_N19,1,1p36.21,15435533,15538516,102983,-,-
BAC118_G04,1,1p36.21,15460440,15555019,94579,-,-
BAC33_O05,1,1p36.21,15482450,15594802,112352,-,-
BAC126_M09,1,1p36.21,15507620,15589813,82193,-,-
BAC239_O03,1,1p36.21,15507620,15636402,128782,-,-
BAC135_K06,1,1p36.21,15507823,15591795,83972,-,-
BAC226_M08,1,1p36.21,15508772,15591799,83027,-,-
BAC137_H14,1,1p36.21,15522587,15593920,71333,-,-
BAC193_B08,1,1p36.21,15540530,15642526,101996,-,-
BAC52_K07,1,1p36.21,15594795,15695308,100513,-,-
BAC230_F05,1,1p36.21,15618567,15695303,76736,-,-
BAC217_F15,1,1p36.21,15618580,15698943,80363,-,-
BAC236_J03,1,1p36.21,15680622,15797536,116914,-,-
BAC175_P19,1,1p36.21,15689359,15778494,89135,-,-
BAC51_J08,1,1p36.21,15699268,15803043,103775,-,-
BAC38_B08,1,1p36.21,15793443,15896165,102722,-,-
BAC203_E15,1,1p36.21,15842817,15936651,93834,-,-
BAC151_A22,1,1p36.21,15844290,15932361,88071,-,-
BAC96_I03,1,1p36.21,15880647,15986484,105837,-,-
BAC170_C20,1,1p36.21,15915030,16011327,96297,-,-
BAC130_H02,1,1p36.21,15954357,16043377,89020,-,-
BAC126_J14,1,1p36.21-1p36.13,15986548,16134204,147656,-,-
BAC126_B13,1,1p36.21-1p36.13,15986548,16134204,147656,-,-
BAC200_E04,1,1p36.21-1p36.13,16043373,16134204,90831,-,-
BAC80_C03,1,1p36.21-1p36.13,16078771,16263753,184982,-,-
BAC45_C16,1,1p36.13,16152860,16265755,112895,-,-
BAC144_I01,1,1p36.13,16162571,16245110,82539,-,-
BAC67_H20,1,1p36.13,16168203,16263753,95550,-,-
BAC175_H20,1,1p36.13,16231438,16322751,91313,-,-
BAC67_F15,1,1p36.13,16280915,16308312,27397,-,-
BAC173_K16,1,1p36.13,16324638,16410862,86224,-,-
BAC43_C23,1,1p36.13,16324687,16488490,163803,-,-
BAC97_A11,1,1p36.13,16336799,16427594,90795,-,-
BAC67_G22,1,1p36.13,16518756,16632155,113399,-,-
BAC161_N05,1,1p36.13,16572330,16661652,89322,-,-
BAC142_P14,1,1p36.13,16591701,16684665,92964,-,-
BAC46_J05,1,1p36.13,16625359,16722455,97096,-,-
BAC81_B05,1,1p36.13,16661647,16789011,127364,-,-
BAC125_F22,1,1p36.13,16699492,16769398,69906,-,-
BAC149_K10,1,1p36.13,16723318,16776436,53118,-,-
BAC5_L06,1,1p36.13,16727476,16815983,88507,yes,-
BAC209_B08,1,1p36.13,16729560,16782379,52819,-,-
BAC22_M16,1,1p36.13,16730977,16782713,51736,-,-
BAC46_C04,1,1p36.13,16731037,16782694,51657,-,-
BAC41_G07,1,1p36.13,16754819,16847296,92477,yes,-
BAC194_H07,1,1p36.13,16782707,16868799,86092,-,-
BAC27_A14,1,1p36.13,16854896,17070429,215533,-,-
BAC181_C06,1,1p36.13,16922055,17136811,214756,-,-
BAC45_I11,1,1p36.13,17081249,17264898,183649,yes,-
BAC247_I23,1,1p36.13,17086112,17169276,83164,-,-
BAC27_K22,1,1p36.13,17088525,17222563,134038,-,-
BAC152_A20,1,1p36.13,17106690,17188780,82090,-,-
BAC129_E19,1,1p36.13,17222557,17329004,106447,yes,-
BAC41_O15,1,1p36.13,17271986,17381089,109103,-,-
BAC39_H06,1,1p36.13,17271990,17381094,109104,-,-
BAC123_C12,1,1p36.13,17458564,17583315,124751,yes,-
BAC149_H02,1,1p36.13,17472875,17586540,113665,yes,-
BAC165_D06,1,1p36.13,17489962,17583315,93353,yes,-
BAC58_P20,1,1p36.13,17494578,17574174,79596,yes,-
BAC95_C15,1,1p36.13,17494594,17570143,75549,yes,-
BAC183_I02,1,1p36.13,17652326,17747208,94882,-,-
BAC180_I22,1,1p36.13,17754885,17907040,152155,-,-
BAC154_F08,1,1p36.13,17783346,17886662,103316,-,-
BAC68_G11,1,1p36.13,17786187,17884125,97938,-,-
BAC240_K05,1,1p36.13,17829396,17906700,77304,-,-
BAC45_K03,1,1p36.13,17829402,17910571,81169,-,-
BAC224_F15,1,1p36.13,17891114,17998197,107083,-,-
BAC250_B02,1,1p36.13,17911632,17995850,84218,-,-
BAC145_B18,1,1p36.13,17924962,18021969,97007,-,-
BAC61_C03,1,1p36.13,17945071,18129651,184580,-,-
BAC37_N24,1,1p36.13,17978994,18076994,98000,-,-
BAC180_E13,1,1p36.13,17998190,18083434,85244,-,-
BAC123_H23,1,1p36.13,18027993,18129652,101659,-,-
BAC145_D21,1,1p36.13,18095296,18204714,109418,-,-
BAC242_O07,1,1p36.13,18104019,18187114,83095,-,-
BAC153_J06,1,1p36.13,18104019,18190686,86667,-,-
BAC165_C08,1,1p36.13,18119169,18250425,131256,-,-
BAC193_H01,1,1p36.13,18373447,18461880,88433,-,-
BAC218_H23,1,1p36.13,18377192,18461880,84688,-,-
BAC63_F16,1,1p36.13,18377192,18464535,87343,-,-
BAC37_L16,1,1p36.13,18466668,18678704,212036,-,-
